,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,Label 4_f1-score,Label 4_precision,Label 4_recall,Label 4_support,accuracy,gamma_unbalanced,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_star_unbalanced,mu_unbalanced,non_consensus_px,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
54,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Weighted Mean - 5x5 Conv Entropy,,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
55,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Weighted Mean - Mean Entropy,,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
56,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Weighted Mean - Pixelwise Entropy,,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
57,0.06405708186284995,0.1836735930749836,0.03884372177055103,369.0,0.02594810801075111,0.01922553556478133,0.04010416666666667,64.0,0.029741507251524503,0.02159829919077768,0.04791666666666667,64.0,0.028541653035058973,0.020987082208025535,0.04479166666666667,64.0,0.027485100737554075,0.020296693891085228,0.042708333333333334,64.0,0.04090666666666666,0.8,0.03515469017954772,0.05315624078593068,0.042872911020776866,625.0,Majority Voting,,,,,0.2000002,0.4,625.0,0.01,1,0.049259057320999194,0.1168487087029885,0.04090666666666666,625.0
58,0.0,0.0,0.0,369.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,0.0,0.8,0.0,0.0,0.0,625.0,Maximum Proposal,,,,,0.2000002,0.4,625.0,0.01,1,0.0,0.0,0.0,625.0
59,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.8,1.0,1.0,1.0,625.0,Mean Proposal,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
60,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.8,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
61,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.8,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
62,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.8,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
63,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.8,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
