,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,non_consensus_px,method,mu_unbalanced,mu_star_unbalanced,gamma_unbalanced,unbalanced_agents,std
53,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Weighted Mean - 3x3 Conv Entropy,0.6,0.25000025,0.75,1,0.01
54,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Weighted Mean - 5x5 Conv Entropy,0.6,0.25000025,0.75,1,0.01
55,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Weighted Mean - Mean Entropy,0.6,0.25000025,0.75,1,0.01
56,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Weighted Mean - Pixelwise Entropy,0.6,0.25000025,0.75,1,0.01
57,0.26505978942031677,0.28014642776303667,0.252,175.0,0.24449813896965597,0.23970541932953007,0.2502222222222222,150.0,0.23605501916267807,0.23106098289756938,0.2417777777777778,150.0,0.24277010150667117,0.24003871037488927,0.24622222222222223,150.0,0.2477333333333333,0.24709576226483052,0.24773788509125635,0.24755555555555556,625.0,0.24781432335105,0.24903422679812756,0.2477333333333333,625.0,625.0,Majority Voting,0.4,0.375,0.75,1,0.01
58,0.0,0.0,0.0,175.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,625.0,625.0,Maximum Proposal,0.4,0.375,0.75,1,0.01
59,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Mean Proposal,0.4,0.375,0.75,1,0.01
60,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy,0.4,0.375,0.75,1,0.01
61,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy (Mean-Weighted),0.4,0.375,0.75,1,0.01
62,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy (Weighted),0.4,0.375,0.75,1,0.01
